method,label,rationale,true_label,claim,correct
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Princess Mononoke has at least one type of setting.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The Millers aired on NBC.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,James VI and I was a major advocate of a single parliament for Scotland and England.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Dreamer (2005 film) was filmed in an American drama studio.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Alexandra Daddario is American and French.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Finding Dory was directed by an American and it is a film.,True
random,REFUTES,Random selection,REFUTES,Bea Arthur's birth name was Bea Arthur.,True
random,REFUTES,Random selection,SUPPORTS,A monster is often hideous and may be terrifying or harmful.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Luis Fonsi uses a pseudonym when performing.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Ludwig van Beethoven was abandoned by his father Johann van Beethoven and Christian Gottlob Neefe.,True
random,SUPPORTS,Random selection,REFUTES,Island Records was founded by Peter Jackson only.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Ashley Graham is a plus-size singer.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Danielle Cormack is a screen producer.,False
random,REFUTES,Random selection,REFUTES,Dub music is a genre of film.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Middle-earth is part of a town in New York.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Bermuda Triangle is where a number of aircraft and ships have disappeared.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Awkward Black Girl was created by a woman.,False
random,REFUTES,Random selection,SUPPORTS,Highway to Heaven is an American television series.,False
random,SUPPORTS,Random selection,REFUTES,Harold Macmillan was a German politician.,False
random,REFUTES,Random selection,SUPPORTS,Weekly Idol is hosted by a performer.,False
random,REFUTES,Random selection,SUPPORTS,Trollhunters was produced by an animation company.,False
random,SUPPORTS,Random selection,REFUTES,Natural Born Killers is based upon a novel by Thomas Wolfe.,False
random,SUPPORTS,Random selection,REFUTES,"Eric Church graduated from college on May 3, 1977.",False
random,REFUTES,Random selection,REFUTES,English people are descended from the Romans.,True
random,SUPPORTS,Random selection,REFUTES,Queen (band) is from the capital of Massachusetts.,False
random,SUPPORTS,Random selection,REFUTES,Fabian Nicieza is solely Japanese.,False
random,REFUTES,Random selection,REFUTES,The Battle of France was not the German invasion of France.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Girl is a studio song.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,David Packouz is a Canadian citizen.,False
random,SUPPORTS,Random selection,REFUTES,"Andrew Kevin Walker was born on August 24, 1964.",False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Bruce Shand was awarded a settlement.,True
random,SUPPORTS,Random selection,REFUTES,The Cretaceous is a Paleogene extinction event in 2001.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Steven Spielberg's directorial debut was the 1974 crime film The Sugarland Express.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,A View to a Kill is a Johnny English movie.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Avenged Sevenfold was released online.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Penguin Books demonstrated that large audiences existed for serious books such as Shantaram.,False
random,REFUTES,Random selection,SUPPORTS,Epistemology studies the nature of knowledge and the rationality of belief.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The University of Illinois at Chicago is privately funded.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Humphrey Bogart directed the film Casablanca.,False
random,REFUTES,Random selection,REFUTES,Bessie Smith was a Russian spy.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Shivaay was the first Bollywood film with Sayyeshaa.,False
random,REFUTES,Random selection,SUPPORTS,The 100 is a TV series following a group of teens.,False
random,SUPPORTS,Random selection,REFUTES,Simón Bolívar was strictly Canadian.,False
random,REFUTES,Random selection,REFUTES,Duane Chapman is not a bounty hunter.,True
random,SUPPORTS,Random selection,REFUTES,Bones is solely a television pitch.,False
random,REFUTES,Random selection,REFUTES,Gal Gadot was ranked behind Esti Ginzburgh for highest earning actress/models in Israel.,True
random,REFUTES,Random selection,REFUTES,Fidel Castro is an only child.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,"""I Feel for You"" by Chaka Khan was released five years after 1984.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,Robert Lopez has won an Emmy in 1998.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Tiber Oil Field was discovered in 2009.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Intelligence officers refused to meet with Omar Khadr.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The Columbia River has fish and crayfish.,True
random,SUPPORTS,Random selection,REFUTES,Danielle Cormack was born on December 31.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Christa McAuliffe was a biology teacher.,False
random,REFUTES,Random selection,SUPPORTS,The Columbia River undergoes drainage.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Tamerlan Tsarnaev had an older brother.,True
random,REFUTES,Random selection,SUPPORTS,Rhythm Nation was covered by an American singer and songwriter.,False
random,SUPPORTS,Random selection,SUPPORTS,In 1993 Jenna Jameson started acting in erotic videos.,True
random,REFUTES,Random selection,SUPPORTS,"On January 22nd, 1917, Bruce Shand was born .",False
random,REFUTES,Random selection,REFUTES,Psych's protagonist is a dog.,True
random,REFUTES,Random selection,SUPPORTS,Randy Savage wears flamboyant clothing to wrestling matches.,False
random,SUPPORTS,Random selection,SUPPORTS,North Vietnam existed from 1945 to 1976.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Bethany Hamilton was a victim of a great white attack.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Human trafficking leads to unfree labor.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,You Belong with Me was performed as part of the 2009 -- 2010 investigation.,False
random,SUPPORTS,Random selection,SUPPORTS,Buffy Summers appears in the Buffy the Vampire Slayer film.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,John Deighton worked a parcel of land that had gold.,True
random,SUPPORTS,Random selection,SUPPORTS,James VI and I was a monarch of England.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Henry VIII (TV serial) stars Richard Griffiths.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Marjorie Gross wrote for film.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Ingushetia was named after Chechen-Ingush ASSR split into two.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Harvard University has a campus.,False
random,REFUTES,Random selection,SUPPORTS,"Kellyanne Conway referenced something which never occurred, called the ""Bowling Green massacre.""",False
random,REFUTES,Random selection,SUPPORTS,A novel writer from America wrote Winter's Tale.,False
random,SUPPORTS,Random selection,SUPPORTS,Global warming is expected to be greatest in the Arctic.,True
random,REFUTES,Random selection,REFUTES,DNA is a single.,True
random,REFUTES,Random selection,SUPPORTS,Janelle Monáe is a singer and songwriter.,False
random,REFUTES,Random selection,SUPPORTS,A version of Despacito features Victor Manuelle.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Brad Wilk was a manager for a hard rock band.,True
random,SUPPORTS,Random selection,SUPPORTS,Moonlight's filming began in 2015.,True
random,SUPPORTS,Random selection,REFUTES,Happiness in Slavery is only an album.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Richard Linklater's goose plays Mason's sister.,False
random,REFUTES,Random selection,REFUTES,Savages was exclusively a German film.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Brad Wilk helped co-found Linkin Park.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Damon Albarn's debut album was co-recorded by Richard Russell.,True
random,SUPPORTS,Random selection,REFUTES,"Palo Alto, California is located only outside of Santa Clara County.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Artpop sold about 757,000 cats.",False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Reign Over Me is a film.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Marjorie Gross was a film writer.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Paris (Paris Hilton album) incorporates elements of a musical genre.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Rhythm Nation was covered by a Korean music group.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Jeong Hyeong-don is a comedian.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The Pelican Brief is a 1993 American legal political thriller.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Ashton Kutcher was directed by George Clooney.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Touchscreens are used in gaming computers.,True
random,REFUTES,Random selection,SUPPORTS,The CONCACAF Champions League is organized.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The Chagatai language is Finno-Urgic.,False
random,REFUTES,Random selection,SUPPORTS,Drake Bell put out an extended play in 2011.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Home for the Holidays stars someone who died on June 6, 2016.",False
random,SUPPORTS,Random selection,REFUTES,"Bessie Smith ran a marathon on September 26, 1937.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,Giada at Home was only available on DVD.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Steve Wozniak designed homes.,False
random,SUPPORTS,Random selection,SUPPORTS,Michael B. Jordan is American.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Anne Rice lived her entire life in Louisiana.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Kelly Preston starred in Batman.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Bradley Fuller is a producer.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,James Earl Jones was a viewer of The Lion King.,False
random,SUPPORTS,Random selection,SUPPORTS,L.A. Reid has been the CEO of Arista Records.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Tom Baker is from America.,False
random,REFUTES,Random selection,SUPPORTS,Tool has performed tours.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Danger UXB is from the late seventies.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Hourglass was James Taylor's first album in 6 days.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Aunt May is a character that made zero appearance in media adaptations of comics.,False
random,REFUTES,Random selection,SUPPORTS,A rapper was featured on a crossover hit by Chaka Khan.,False
random,REFUTES,Random selection,REFUTES,Hot Right Now is mistakenly attributed to DJ Fresh.,True
random,SUPPORTS,Random selection,REFUTES,The Closer's final season began in August 2011.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Roland Emmerich is gay.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Marnie was directed by someone who was ""The Master of Nothing"".",False
random,SUPPORTS,Random selection,REFUTES,Creedence Clearwater Revival was not active in the late 1960s and early 1970s.,False
random,SUPPORTS,Random selection,SUPPORTS,Forceps are used for grasping.,True
random,REFUTES,Random selection,SUPPORTS,"Dan O'Bannon work was primarily science fiction and horror, serving as a screenwriter and director.",False
random,REFUTES,Random selection,SUPPORTS,Sancho Panza is a fictional character in a novel written by Don Miguel de Cervantes Saavedra.,False
random,REFUTES,Random selection,SUPPORTS,In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Wish Upon starred Tom Cruise.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The Cretaceous ended with a mass extinction in 1009.,False
random,SUPPORTS,Random selection,REFUTES,There are zero Polynesian languages.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Humphrey Bogart is incapable of receiving an Oscar Nomination.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Michael Vick is a Canadian.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Jokes are included in folklore.,False
random,REFUTES,Random selection,SUPPORTS,Dilwale Dulhania Le Jayenge was partially filmed in Switzerland.,False
random,REFUTES,Random selection,REFUTES,"Janelle Monáe was born on December 22nd, 2012.",True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,CHiPs was created in May 2017.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,David Spade starred in Joe Dirt 2: Beautiful Loser.,False
random,REFUTES,Random selection,SUPPORTS,Tilda Swinton is from Europe.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Liverpool was the town where The Beatles formed.,False
random,SUPPORTS,Random selection,REFUTES,Paul Nicholls created Joe Wicks.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The CONCACAF Champions League is organized for football clubs in South America.,False
random,SUPPORTS,Random selection,REFUTES,Ernest Medina was uninvolved in a Vietnam War mass killing.,False
random,REFUTES,Random selection,SUPPORTS,"After Chechen-Ingush ASSR split into two, Ingushetia was established.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,Tinker Tailor Soldier Spy only stars Adam Sandler.,False
random,SUPPORTS,Random selection,REFUTES,Hedda Gabler's world premiere took place at the Globe Theatre.,False
random,SUPPORTS,Random selection,REFUTES,Vietnam is a mascot.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Taylor Lautner appeared on the movie poster for Avatar.,True
random,SUPPORTS,Random selection,REFUTES,Goosebumps (film) is written by William Goldman.,False
random,REFUTES,Random selection,REFUTES,Sancho Panza is a real person.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Diwali spiritually signifies the victory of knowledge over ignorance.,False
random,REFUTES,Random selection,SUPPORTS,Qui-Gon Jinn is a fictitious character.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Mickey Rourke appeared in a sequel.,False
random,REFUTES,Random selection,SUPPORTS,The Millers was announced for cancellation.,False
random,SUPPORTS,Random selection,SUPPORTS,Brian Michael Bendis has worked in media.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Oscar de la Hoya was named Fighter of the Year in the UFC.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Osamu Tezuka was a young adult.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Eva Green acted in Twilight.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Bahamas is a democratic state.,False
random,SUPPORTS,Random selection,SUPPORTS,Bullitt is a thriller film directed by Peter Yates.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Annette Badland played Margaret Blaine in Star Trek.,True
random,SUPPORTS,Random selection,SUPPORTS,Tie Your Mother Down was released as a single.,True
random,SUPPORTS,Random selection,REFUTES,Glee.com was first launched in March of 2008.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Danielle Cormack is a commercial actress.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The horse has changed in size as it evolved.,False
random,SUPPORTS,Random selection,SUPPORTS,There is a film called Daag.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Michigan is a top destination for recreational legislation.,True
random,SUPPORTS,Random selection,REFUTES,Bones is a cuisine.,False
random,REFUTES,Random selection,REFUTES,West Ham United F.C. was not originally called Thames Ironworks.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,"The Bassoon King's sequel is My Life in Art, Faith, and Idiocy.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Swordfish (film) is a film that is about a farmer..,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Stadium Arcadium won a TV.,False
random,REFUTES,Random selection,SUPPORTS,Mary of Teck's son married a Wallis Simpson.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Reign Over Me was withheld in 2007.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Michaela Watkins is a Catholic.,False
random,REFUTES,Random selection,SUPPORTS,Queen (band) is a British rock band.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,"In 1936, Mary of Teck's son abdicated the throne.",False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The Cincinnati Kid was directed by Norman Jewison.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The horse was not domesticated on a broad scale by 3000 BC.,False
random,SUPPORTS,Random selection,SUPPORTS,There is an American screenwriter and director called Shane Black.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,The Concert for Bangladesh is recognized as a highly unsuccessful and minor humanitarian aid project.,False
random,REFUTES,Random selection,REFUTES,Earl Scruggs was incapable of being a musician.,True
random,SUPPORTS,Random selection,REFUTES,Shawn Carlson was born in 1860.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Tijuana is landlocked.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Luis Fonsi was born in southern Puerto Rico.,False
random,SUPPORTS,Random selection,REFUTES,"Bruce Shand died on January 22nd, 1916.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Greek language is spoken in Athens.,False
random,SUPPORTS,Random selection,REFUTES,Melancholia was directed by Bob Dole.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Underdog was funded by a Belgian film director.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Kuching is the most populous city in Sarawak, Malaysia's largest state.",False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,First Motion Picture Unit is from India.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Chaka Khan had a crossover hit featuring a singer.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,A Milli is a song by a recording artist.,False
random,SUPPORTS,Random selection,REFUTES,Kenneth Lonergan is the director of Pacific Rim.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Edison Machine Works was set up to produce corpses.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Recovery features collaboration between Lil Wayne and Eminem.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Victoria Palace Theatre is in a subsection located close to the center of London.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Shane McMahon worked for the Big Show.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The State of Palestine claims a territory in Western Asia.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Swordfish (film) is the highest grossing film.,True
random,REFUTES,Random selection,SUPPORTS,"Mason Evans, Jr. grows up in Texas.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Stephen Colbert is on NBC.,False
random,SUPPORTS,Random selection,SUPPORTS,Michaela Watkins has a full name.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Duane Chapman's nickname is Duane Lee ""Dog"" Chapman I.",False
random,SUPPORTS,Random selection,REFUTES,Despicable Me 2 was directed by a lake.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,PacSun sells death certificates.,True
random,SUPPORTS,Random selection,SUPPORTS,Pharrell Williams was in the band N*E*R*D with Shay Haley.,True
random,SUPPORTS,Random selection,REFUTES,Richard Linklater's cousin plays Mason's sister.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Fred Armisen is a standup comedian.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Luis Fonsi was born in 1978.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,James VI and I was a leader.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The Prowler was created by crabs.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Star Trek: Discovery is a riff on the series created by Gene Roddenberry.,False
random,SUPPORTS,Random selection,REFUTES,The heart beats at a resting rate close to 22 beats per minute.,False
random,SUPPORTS,Random selection,REFUTES,"Palo Alto, California is 100 miles from the United States.",False
random,SUPPORTS,Random selection,SUPPORTS,PacSun sells products.,True
random,REFUTES,Random selection,REFUTES,Dave Gibbons has no middle name.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Despicable Me 2 was written by Ken Daurio in 2014.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Jackie (2016 film) is an American, drama film.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,Qui-Gon Jinn is a fictional apricot.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Paramore formed in July of 2004.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Aarhus is located on the east egg of the Jutland peninsula.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Youtube is listed as the second most popular website on the planet.,False
random,REFUTES,Random selection,SUPPORTS,"On November 5, 1960, Tilda Swinton was born.",False
random,REFUTES,Random selection,REFUTES,Shawn Carlson is a squid.,True
random,SUPPORTS,Random selection,SUPPORTS,Billboard Dad stars a woman.,True
random,SUPPORTS,Random selection,SUPPORTS,Jewell worked with Dr. Dre.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Calcaneal spurs can be destroyed.,True
random,REFUTES,Random selection,REFUTES,There are zero Polynesian languages.,True
random,REFUTES,Random selection,REFUTES,Shane Black was born in January.,True
random,SUPPORTS,Random selection,SUPPORTS,Ron Weasley's blood is pure.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Matteo Renzi was born and raised in Italy.,False
random,REFUTES,Random selection,REFUTES,Rabbta (song) is a Hindi song from a 2016 Bollywood film.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,The Mighty Ducks was distributed by PewDiePie.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Match Point is an unadapted novel.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Moonlight premiered at Wendy's.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Wales has a large region rich in oil deposits.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Weekly Idol has a host born in April 1978.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Kenneth Lonergan is a songwriter.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Miracle at St. Anna tells the tale of four soldiers.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Creedence Clearwater Revival had Stu Cook on bass for the song Fortunate Son.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Tatum O'Neal married Andy Roddick.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Knocked Up was released on Monday June 1, 2007.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,Matteo Renzi is German.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Season 2 of Fargo is a sequel to the events in the first season.,False
random,REFUTES,Random selection,REFUTES,Rage Against the Machine did not perform at live venues and festivals.,True
random,REFUTES,Random selection,REFUTES,Kellyanne Conway did not claim Michael Flynn had the full confidence of the president hours before he was dismissed.,True
random,SUPPORTS,Random selection,SUPPORTS,Roswell was by Jason Katims.,True
random,SUPPORTS,Random selection,SUPPORTS,Magic Johnson was a basketball player for the Lakers.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Epistemology attempts to understand the justification of propositions and mythologies.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The dress inspired fresh insights into vision.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Henry II of France died in a tournament held to celebrate the autumn.,False
random,SUPPORTS,Random selection,SUPPORTS,Mickey Rourke appeared in Iron Man 2.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Miranda Otto is the mother of actress Gracie Otto.,False
random,SUPPORTS,Random selection,REFUTES,Yandex operates only outside of Kazakhstan.,False
random,SUPPORTS,Random selection,SUPPORTS,"Dreamer (2005 film) was directed by an American screenwriter, director, and actor.",True
random,SUPPORTS,Random selection,SUPPORTS,2016 Tour de France was won by Chris Froome.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Raabta (song) is a song from a Hollywood film called Agent Vinod.,False
random,SUPPORTS,Random selection,REFUTES,Mick Thomson was unable to join any bands.,False
